ticker,period_end,filed,avail,rev,gp,oi,ni,sh,split_fac,sh_now,dps,dps_now,inv,equity,cash,debt
ICE,2019-12-31,2020-02-06,2020-02-06,1667000000,,622000000,4.48e+08,565000000,1,565000000.0,0.275,0.275,,1.7255e+10,2.188e+09,1.0388e+10
ICE,2020-03-31,2020-04-30,2020-04-30,2115000000,,882000000,6.5e+08,555000000,1,555000000.0,0.3,0.3,,1.6939e+10,5.83e+08,8.323e+09
ICE,2020-06-30,2020-07-30,2020-07-30,1966000000,,744000000,5.23e+08,549000000,1,549000000.0,0.3,0.3,,1.6953e+10,8.8e+08,8.408e+09
ICE,2020-09-30,2020-10-29,2020-10-29,1930000000,1411000000.0,627000000,3.9e+08,551000000,1,551000000.0,0.3,0.3,,1.9021e+10,6.1e+08,1.7332e+10
ICE,2020-12-31,2021-02-04,2021-02-04,2233000000,,780000000,5.26e+08,555000000,1,555000000.0,0.3,0.3,,1.9498e+10,1.991e+09,1.8948e+10
ICE,2021-03-31,2021-04-29,2021-04-29,2429000000,,892000000,6.46e+08,565000000,1,565000000.0,0.33,0.33,,1.9963e+10,5.62e+08,1.6199e+10
ICE,2021-06-30,2021-07-29,2021-07-29,2134000000,,799000000,1.252e+09,565000000,1,565000000.0,0.33,0.33,,2.108e+10,6.02e+08,1.4453e+10
ICE,2021-09-30,2021-10-28,2021-10-28,2277000000,,878000000,6.33e+08,566000000,1,566000000.0,0.33,0.33,,2.1559e+10,6.18e+08,1.4225e+10
ICE,2021-12-31,2022-02-03,2022-02-03,2328000000,,880000000,1.527e+09,565000000,1,565000000.0,0.33,0.33,,2.2709e+10,1.47976e+11,1.5439e+10
ICE,2022-03-31,2022-05-05,2022-05-05,2459000000,,992000000,6.57e+08,564000000,1,564000000.0,0.38,0.38,,2.2667e+10,6.38e+08,1.4178e+10
ICE,2022-06-30,2022-08-04,2022-08-04,2413000000,,869000000,5.55e+08,560000000,1,560000000.0,0.38,0.38,,2.2814e+10,8.3e+08,1.8113e+10
ICE,2022-09-30,2022-11-03,2022-11-03,2387000000,,913000000,-1.91e+08,560000000,1,560000000.0,0.38,0.38,,2.2379e+10,1.183e+09,1.812e+10
ICE,2022-12-31,2023-02-02,2023-02-02,2377000000,,864000000,4.25e+08,561000000,1,561000000.0,0.38,0.38,,2.2706e+10,1.50343e+11,1.8126e+10
