ticker,name,mc,px,industry
RZLT,Rezolute Inc. Common Stock (NV),3.85169e+08,4,Health Care
TACO,Berto Acquisition Corp. Ordinary Shares,3.80821e+08,10.45,Finance
SOR,Source Capital Inc. Cmn Shs of BI,3.80592e+08,45.61,Finance
MCI,Barings Corporate Investors Common Stock,3.79502e+08,18.73,Finance
ARTV,Artiva Biotherapeutics Inc. Common Stock,3.77432e+08,7.72,Health Care
CABA,Cabaletta Bio Inc. Common Stock,3.76391e+08,2.22,Health Care
DIN,Dine Brands Global Inc. Common Stock,3.63064e+08,28.68,Consumer Discretionary
SWMR,Swarmer Inc Common Stock,3.62407e+08,22.74,Technology
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),3.62353e+08,8.16,Finance
BRCB,Black Rock Coffee Bar Inc. Class A Common Stock,3.56517e+08,7.12,Consumer Discretionary
CCAP,Crescent Capital BDC Inc. Common stock,3.563e+08,9.67,Finance
LEO,BNY Mellon Strategic Municipals Inc. Common Stock,3.54435e+08,5.69,Finance
CION,CION Investment Corporation Common Stock,3.53275e+08,7.18,Finance
PPHC,Public Policy Holding Company Inc. Common Stock,3.50373e+08,11.72,Uncategorized
USDE,StablecoinX Inc. Class A Common Stock,3.49898e+08,12.87,Finance
CUB,Lionheart Holdings Class A Ordinary Shares,3.4596e+08,10.89,Industrials
PRLD,Prelude Therapeutics Incorporated Common Stock,3.43953e+08,4.31,Health Care
