h,方法,n,中位絕對誤差,相對隨機漫步,OOS_R2,方向命中,期間,樣本,比較,典型誤差
36,R_資金成本,4241.000000,0.302412,-0.143682,0.339710,0.662815,選模期,科技股名單,報酬假設,
36,R_CAPM beta,4241.000000,0.305994,-0.133540,0.324828,0.647017,選模期,科技股名單,報酬假設,
36,R_零,4241.000000,0.340032,-0.037157,0.232476,0.607168,選模期,科技股名單,報酬假設,
36,R_同產業過去10年,4241.000000,0.309907,-0.122460,0.322260,0.676491,選模期,科技股名單,報酬假設,
36,R_全體過去10年,4241.000000,0.294193,-0.166956,0.357471,0.693233,選模期,科技股名單,報酬假設,
6,rw,24330.000000,0.172343,0.000000,0.000000,,選模期,非科技股,報酬假設,
6,R_資金成本,24330.000000,0.161300,-0.064076,0.150416,0.641266,選模期,非科技股,報酬假設,
6,R_CAPM beta,24330.000000,0.162350,-0.057987,0.149642,0.635512,選模期,非科技股,報酬假設,
6,R_零,24330.000000,0.163776,-0.049713,0.146031,0.622072,選模期,非科技股,報酬假設,
6,R_同產業過去10年,24330.000000,0.161697,-0.061776,0.150224,0.639005,選模期,非科技股,報酬假設,
6,R_全體過去10年,24330.000000,0.162196,-0.058881,0.150367,0.638348,選模期,非科技股,報酬假設,
12,rw,23835.000000,0.270820,0.000000,0.000000,,選模期,非科技股,報酬假設,
12,R_資金成本,23835.000000,0.229371,-0.153050,0.259816,0.663310,選模期,非科技股,報酬假設,
12,R_CAPM beta,23835.000000,0.230944,-0.147242,0.257757,0.658318,選模期,非科技股,報酬假設,
12,R_零,23835.000000,0.235601,-0.130049,0.250330,0.645479,選模期,非科技股,報酬假設,
12,R_同產業過去10年,23835.000000,0.231187,-0.146345,0.259327,0.663520,選模期,非科技股,報酬假設,
12,R_全體過去10年,23835.000000,0.231390,-0.145597,0.258922,0.663898,選模期,非科技股,報酬假設,
24,rw,23586.000000,0.307865,0.000000,0.000000,,選模期,非科技股,報酬假設,
24,R_資金成本,23586.000000,0.264804,-0.139871,0.236479,0.657466,選模期,非科技股,報酬假設,
24,R_CAPM beta,23586.000000,0.272587,-0.114589,0.227107,0.642924,選模期,非科技股,報酬假設,
24,R_零,23586.000000,0.290808,-0.055407,0.194273,0.623717,選模期,非科技股,報酬假設,
24,R_同產業過去10年,23586.000000,0.269466,-0.124728,0.235975,0.660180,選模期,非科技股,報酬假設,
24,R_全體過去10年,23586.000000,0.269977,-0.123067,0.233657,0.657085,選模期,非科技股,報酬假設,
36,rw,23592.000000,0.314472,0.000000,0.000000,,選模期,非科技股,報酬假設,
36,R_資金成本,23592.000000,0.280069,-0.109400,0.253584,0.633944,選模期,非科技股,報酬假設,
36,R_CAPM beta,23592.000000,0.287189,-0.086760,0.237286,0.618006,選模期,非科技股,報酬假設,
36,R_零,23592.000000,0.319312,0.015389,0.172631,0.596346,選模期,非科技股,報酬假設,
